itemCollection_Weapons,,,
Weapon_AntiPersonnelGauss_APG,Weapon,1,1
Weapon_AssaultCannon_ASC2_0-STOCK,Weapon,1,1
Weapon_Autocannon_AC10_CLAN,Weapon,1,1
Weapon_Autocannon_AC10_LBX_CLAN,Weapon,1,1
Weapon_Autocannon_AC20_CLAN,Weapon,1,1
Weapon_Autocannon_AC20_LBX_CLAN,Weapon,1,1
Weapon_Autocannon_AC2_CLAN,Weapon,1,1
Weapon_Autocannon_AC2_LBX_CLAN,Weapon,1,1
Weapon_Autocannon_AC5_CLAN,Weapon,1,1
Weapon_Autocannon_AC5_LBX_CLAN,Weapon,1,1
Weapon_Flamer_Flamer_CLAN,Weapon,1,1
Weapon_Gauss_Gauss_0-STOCK,Weapon,1,1
Weapon_Gauss_Gauss_CLAN,Weapon,1,1
Weapon_Gauss_Gauss_HEAVY-1-UMP,Weapon,1,1
Weapon_Gauss_Gauss_HEAVY,Weapon,1,1
Weapon_Gauss_Gauss_LIGHT,Weapon,1,1
Weapon_HyperAutocannon_HVAC10_0-STOCK,Weapon,1,1
Weapon_HyperAutocannon_HVAC2_0-STOCK,Weapon,1,1
Weapon_HyperAutocannon_HVAC5_0-STOCK,Weapon,1,1
Weapon_HyperGauss_HAG20,Weapon,1,1
Weapon_HyperGauss_HAG30,Weapon,1,1
Weapon_HyperGauss_HAG40,Weapon,1,1
Weapon_Laser_BinaryLaserCannon_0-STOCK,Weapon,1,1
Weapon_Laser_BinaryLaserCannon_1-Defiance,Weapon,1,1
Weapon_Laser_HeavyLargeLaser_CLAN,Weapon,1,1
Weapon_Laser_HeavyLargeLaser_CLAN_IMPROVED,Weapon,1,1
Weapon_Laser_HeavyMediumLaser_CLAN,Weapon,1,1
Weapon_Laser_HeavySmallLaser_CLAN,Weapon,1,1
Weapon_Laser_HeavySmallLaser_CLAN_IMPROVED,Weapon,1,1
Weapon_Laser_LargeLaserER_CLAN,Weapon,1,1
Weapon_Laser_LargeLaserPulse_CLAN,Weapon,1,1
Weapon_Laser_LargeLaserPulse_X,Weapon,1,1
Weapon_Laser_LargeLaser_-1-Tronel,Weapon,1,1
Weapon_Laser_Light_TAG_CLAN,Weapon,1,1
Weapon_Laser_MediumLaserER_CLAN,Weapon,1,1
Weapon_Laser_MediumLaserPulse_CLAN,Weapon,1,1
Weapon_Laser_MediumLaserPulse_X,Weapon,1,1
Weapon_Laser_MediumLaser_-1-Agra,Weapon,1,1
Weapon_Laser_MicroLaserER_CLAN,Weapon,1,1
Weapon_Laser_MicroLaserPulse_CLAN,Weapon,1,1
Weapon_Laser_SmallLaserER_CLAN,Weapon,1,1
Weapon_Laser_SmallLaserPulse_CLAN,Weapon,1,1
Weapon_LRM_ATM12_CLAN,Weapon,1,1
Weapon_LRM_ATM3_CLAN,Weapon,1,1
Weapon_LRM_ATM6_CLAN,Weapon,1,1
Weapon_LRM_ATM9_CLAN,Weapon,1,1
Weapon_LRM_LRM10_CLAN,Weapon,1,1
Weapon_LRM_LRM15_CLAN,Weapon,1,1
Weapon_LRM_LRM20_CLAN,Weapon,1,1
Weapon_LRM_LRM5_CLAN,Weapon,1,1
Weapon_MachineGun_JUGG,Weapon,1,1
Weapon_MachineGun_MachineGun_1-Blackwell,Weapon,1,1
Weapon_MachineGun_MachineGun_1-Mydron,Weapon,1,1
Weapon_MachineGun_MachineGun_2-M100,Weapon,1,1
Weapon_MachineGun_MachineGun_3-Voelkers,Weapon,1,1
Weapon_MachineGun_MachineGun_CLAN,Weapon,1,1
Weapon_MachineGun_MachineGun_CLAN_HEAVY,Weapon,1,1
Weapon_MachineGun_MachineGun_CLAN_LIGHT,Weapon,1,1
Weapon_MRM_10-1-UMP,Weapon,1,1
Weapon_MRM_10,Weapon,1,1
Weapon_MRM_20-1-UMP,Weapon,1,1
Weapon_MRM_20,Weapon,1,1
Weapon_MRM_30-1-UMP,Weapon,1,1
Weapon_MRM_30,Weapon,1,1
Weapon_MRM_40-1-UMP,Weapon,1,1
Weapon_MRM_40,Weapon,1,1
Weapon_Narc_Standard_0-STOCK,Weapon,1,1
Weapon_Plasma_Plasmacannon_0-STOCK,Weapon,1,1
Weapon_Plasma_Plasmacannon_1-Diamond_Shark,Weapon,1,1
Weapon_Plasma_PlasmaPPC_0-STOCK,Weapon,1,1
Weapon_Plasma_Plasmarifle_0-STOCK,Weapon,1,1
Weapon_Plasma_Plasmarifle_1-Ceres_Arms,Weapon,1,1
Weapon_Plasma_Plasmarifle_1-Defiance,Weapon,1,1
Weapon_Plasma_Plasmarifle_1-Tiegart,Weapon,1,1
